gene_id	numb_iso	group	meanC1	meanC2	mean	varC1	varC2	var	DIE	DS	DIEDS	DE	DIEgroup	DSgroup	DIEDSgroup	DEgroup
ENSG00000160185	5	II	7.69	12.49875	10.094375	118.025942857143	81.4414410714286	99.2511995833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160188	3	I	18.1375	66.48	42.30875	256.446535714286	4518.23654285714	2851.38471833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160190	8	II	233.16875	702.8375	468.003125	37549.0431839286	214518.559364286	176455.210449583	FALSE	FALSE	TRUE	FALSE	0	0	2-0.8-0.5	0
ENSG00000160191	29	III	323.01875	706.52125	514.77	120649.231383929	51322.9848410714	119473.478906667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160193	7	II	29.125	58.305	43.715	808.125	351.052771428571	768.008933333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160194	5	II	145.34125	291.5425	218.441875	14643.6790982143	3715.15942142857	14267.4061095833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160199	10	III	111.16875	253.275	182.221875	7762.97698392857	3553.4258	10666.1043095833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160200	20	III	327.86375	645.7225	486.793125	245927.777226786	111742.609335714	193855.296382917	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160201	12	III	285.38125	573.91375	429.6475	50083.9098696429	11932.1239696429	51141.0834066667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160208	2	I	102.14	224.90625	163.523125	4411.65394285714	517.740969642857	6319.46486291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160209	20	III	731.405	1168.7125	950.05875	491387.054571429	72469.2521357143	314129.703011667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160211	11	III	161.3725	265.7075	213.54	26154.8471642857	2525.25487857143	16286.9255466667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160213	2	I	337.155	524.495	430.825	97315.2090285714	21991.6724	65035.5514933333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160214	9	II	97.825	206.2525	152.03875	9777.77365714286	3376.93625	9273.93735833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160216	20	III	334.12625	763.085	548.605625	99495.7023125	26203.4456857143	107727.764852917	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160218	13	III	207.74375	334.54875	271.14625	28015.0217125	4108.02335535714	19278.6231716667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160219	6	II	21.525	27.32125	24.423125	498.264771428571	142.572326785714	308.016382916667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160221	12	III	270.36125	634.5225	452.441875	62955.5072125	32654.4883642857	79981.57553625	FALSE	TRUE	FALSE	FALSE	0	0.5-0.8	0	0
ENSG00000160223	4	I	160.89375	245.59625	203.245	40279.5830553571	6092.00054107143	23553.2759466667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160226	8	II	184.60625	305.87	245.238125	40667.5084553571	14091.5416571429	29475.5292695833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160233	2	I	8.4525	16.81625	12.634375	51.0868214285714	19.9205125	51.79070625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160255	25	III	284.68625	279.51125	282.09875	198788.779283929	28308.9136982143	105986.064891667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160256	5	II	34.66125	55.22375	44.9425	1431.4332125	310.5461125	925.674726666667	FALSE	FALSE	TRUE	FALSE	0	0	4-0.8-0.5	0
ENSG00000160271	17	III	519.355	1038.6225	778.98875	497571.284514286	151296.27605	374708.524678333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160282	14	III	21.4	18.87625	20.138125	987.421685714286	414.4425125	655.90177625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160284	2	I	107.86375	96.59	102.226875	26855.2247982143	2321.15962857143	13649.53871625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160285	11	III	637.42125	867.6875	752.554375	615376.360383929	108205.39485	351810.83134625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160293	6	II	152.63875	468.41125	310.525	16633.5468696429	12388.8039267857	40133.70284	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160294	11	III	439.01	990.87125	714.940625	139792.142828571	40507.7870982143	165353.524432917	FALSE	TRUE	FALSE	FALSE	0	0.3-0.6	0	0
ENSG00000160298	11	III	22.36625	66.995	44.680625	334.073055357143	1103.37311428571	1201.93496625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160299	9	II	135.75	301.675	218.7125	9867.92857142857	3797.28742857143	13718.7289666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160305	15	III	430.44875	880.52125	655.485	165275.533841071	37780.6253553572	148776.94236	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160307	3	I	10.8675	19.61625	15.241875	168.946164285714	484.852398214286	325.516829583333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160310	16	III	367.665	552.46375	460.064375	109226.126685714	33861.4804553571	75881.03746625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160321	3	I	10.38125	17.4225	13.901875	45.6766982142857	34.4111642857143	50.59545625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160323	11	III	42.375	94.96	68.6675	2043.41071428571	2095.68597142857	2668.96038	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160325	8	II	100.51	267.81	184.16	9735.33517142857	11712.6154285714	17472.85428	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160326	5	II	27.62875	48.2225	37.925625	905.749869642857	850.551592857143	932.701359583333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160336	7	II	424.0075	1547.43125	985.719375	116650.918792857	372256.749069643	564711.824219583	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160352	2	I	10.4325	24.0575	17.245	76.2741071428571	59.0567928571429	112.658586666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160360	6	II	102.625	234.1	168.3625	12447.125	7155.4348	13757.37474	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160392	2	I	36.9225	61.31625	49.119375	1088.21376428571	441.471541071429	872.53448625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160401	5	II	38.88875	80.3625	59.625625	1699.22764107143	5695.53882142857	3909.57686625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160404	10	III	43.875	91.12375	67.499375	2193.26785714286	1411.80536964286	2277.68600625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160408	16	III	155.82125	286.02125	220.92125	19413.7204125	22396.3317839286	24031.9016916667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160410	2	I	174.87875	202.025	188.451875	40721.9033267857	4538.23357142857	21317.9089229167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160439	3	I	70.3325	135.04	102.68625	4740.75705	972.200914285714	3782.59653166667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160445	4	I	316.3925	588.23125	452.311875	86869.6400785714	20835.4992982143	69968.07997625	FALSE	TRUE	FALSE	FALSE	0	0.3-0.6	0	0
ENSG00000160446	7	II	101.25	144.75	123	15183.3571428571	2357.35714285714	8690.26666666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160447	3	I	30.74875	42.99	36.869375	1115.45929821429	99.9550857142857	607.152899583333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160460	6	II	47.49625	97.68125	72.58875	3509.90176964286	2267.79898392857	3367.86947833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160469	3	I	33.25	60.75	47	875.071428571429	1422.21428571429	1273.73333333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160471	1	0	31.41125	57.28625	44.34875	873.583298214286	765.3653125	943.380185	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160539	2	I	11	18.62625	14.813125	134.285714285714	165.1175125	155.23075625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160563	4	I	53.8725	90.2425	72.0575	1564.14719285714	780.834078571429	1447.0651	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160570	1	0	72.49375	136.59	104.541875	4689.73602678571	1461.1848	3965.98418958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160584	17	III	182.98875	297.92375	240.45625	20762.3162410714	9479.49048392857	17635.524265	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160588	4	I	76.69125	166.47	121.580625	3094.34938392857	2078.08168571429	4563.19421958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160593	13	III	84.49625	111.5	97.998125	13160.1386839286	3134.57142857143	7798.65205625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160602	2	I	63.93875	121.37125	92.655	3721.28446964286	846.503726785714	3011.23237333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160606	2	I	32.75	67.8425	50.29625	1179.35714285714	1366.87522142857	1516.637385	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160613	16	III	2369.21125	4398.31875	3383.765	3942809.40012679	12777115.2537268	8900572.10421333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
